Keyword,Count
pay adequate,1
students pay,1
increase employees,1
utilize services,1
building dining,1
campus collaborate,1
does lot,1
discount serve,1
serve healthy,1
think school,1
aumento salario,1
salario,1
collaborate food,1
campus eat,1
versions books,1
books,1
used versions,1
allowing buy,1
pantry community,1
buy older,1
student food,1
food discount,1
service options,1
apartments,1
service,1
housing apartments,1
salaries match,1
cafeteria hours,1
offer variety,1
available resources,1
longer cafeteria,1
nmjc currently,1
resources nmjc,1
week food,1
housing services,1
wish knew,1
wish,1
meal handouts,1
pantry greatly,1
family,1
hold,1
businesses,1
offering assisitance,1
job offering,1
assisitance,1
offering,1
counseling,1
wages cutting,1
benefit students,1
earn money,1
work hard,1
hard earn,1
en el,1
earn,1
care children,1
public businesses,1
funding desperately,1
housing public,1
local stores,1
vouchers local,1
desperately needed,1
desperately,1
needed,1
housing community,1
need affordable,1
food grown,1
college does,1
vouchers employees,1
sciences employees,1
employees provide,1
handouts,1
does good,1
pantry nutritious,1
offer work,1
knew,1
union advocate,1
state university,1
adequate meals,1
food selection,1
provides adequate,1
adequate,1
provides,1
anti union,1
food affordable,1
cafeteria needs,1
raising tuition,1
subsidies stipends,1
advocate,1
fight college,1
stipends students,1
meals faculty,1
university ohio,1
free nutritious,1
university akron,1
longer periods,1
panty longer,1
open days,1
food panty,1
students community,1
students obtain,1
places students,1
humanitarian,1
humanitarian assistance,1
support program,1
package individual,1
individual meals,1
meals student,1
subsidies student,1
meals work,1
student discounts,1
dorm housing,1
make food,1
affordable cafeteria,1
nearby schools,1
schools work,1
food option,1
help poor,1
places eat,1
twice week,1
market twice,1
open easily,1
students goes,1
cheaper students,1
stipend food,1
build dorm,1
available sell,1
campus wide,1
sell,1
fruit available,1
parents school,1
providing discounts,1
options wellness,1
pantry lovely,1
wellness,1
wellness options,1
teach students,1
poor people,1
poor,1
education pantry,1
rental subsidies,1
pantry teach,1
work family,1
cheap food,1
open hours,1
students gallup,1
resource fairs,1
word,1
fairs,1
medical support,1
health support,1
better medical,1
funding support,1
lockers students,1
info,1
legislative funding,1
getting legislative,1
provide easily,1
campus convenient,1
info getting,1
food boxes,1
housing resource,1
agencies community,1
housing insecurities,1
increase cost,1
loyalty pay,1
increase wage,1
commons,1
stand commons,1
work agencies,1
commons area,1
food stand,1
awarnes,1
magnitude need,1
awarnes identification,1
magnitude,1
food scholarships,1
beds students,1
housing spaces,1
hope cheap,1
given students,1
need box,1
box,1
campus provides,1
pantry utilized,1
box regularly,1
having housing,1
food commodities,1
pantries vouchers,1
hand food,1
commodities,1
hand,1
student jobs,1
offer student,1
inflation guarantee,1
offer dorms,1
house sharing,1
referral program,1
program food,1
students referral,1
work neighborhood,1
neighborhood restoration,1
open cafã,1
run healthy,1
cafeteria improve,1
vendors,1
improve food,1
food vendors,1
vendors campus,1
employees expand,1
expand services,1
reserve housing,1
scholarships campus,1
students shower,1
shower sleep,1
free distribution,1
fruit vegetables,1
school good,1
dorm room,1
room,1
free staff,1
distribution food,1
raise revenue,1
county nm,1
nutritionist,1
increase projects,1
revenue increase,1
resist unhealthy,1
unhealthy foods,1
eat free,1
college help,1
provide better,1
assistance afford,1
food fresh,1
staff higher,1
qualify assistance,1
afford pay,1
provide student,1
pay inequality,1
el sueldo,1
like,1
aumento en,1
sueldo,1
plenty,1
like doing,1
doing plenty,1
cheap,1
nutritionist food,1
unhealthy,1
provide nutritionist,1
allow remote,1
community stakeholder,1
sleep floor,1
housing shortage,1
gym,1
shower,1
meals access,1
access affordable,1
advocating community,1
stakeholder housing,1
start,1
start pantry,1
meal swipe,1
maybe campus,1
meal swipes,1
swipes food,1
resist,1
access meal,1
start food,1
cafeteria meals,1
pantry subsidize,1
subsidize cafeteria,1
means transportation,1
transportation provided,1
job trying,1
changes,1
access college,1
help shelter,1
trying stay,1
treatment,1
improve treatment,1
fix,1
problem,1
dining housing,1
weekly food,1
subsidized meal,1
housing subsidized,1
endeavor cnm,1
raise levels,1
longer hours,1
advertise help,1
food companies,1
food requests,1
weekly,1
options workplace,1
workplace,1
pantry contract,1
campus addition,1
provided campus,1
day,1
mental,1
mental day,1
students campuses,1
campus cafeteria,1
contracted food,1
prices vegan,1
provider cafe,1
help weekly,1
food provider,1
end pay,1
pay inequalities,1
weekly paper,1
faculty compensation,1
families provide,1
college provide,1
insecurity college,1
guess,1
requests online,1
kids meal,1
ensuring students,1
foor panty,1
panty,1
dedicated stocked,1
assistance students,1
breaks semesters,1
students live,1
live campus,1
requests,1
monies state,1
giving money,1
stamps students,1
help pay,1
food stamps,1
pay kids,1
panty students,1
stamps,1
offer discounts,1
campus cafe,1
plan campus,1
resources advertise,1
pantries increase,1
raises employees,1
faculty income,1
filtered water,1
hallways,1
offer meals,1
hallways fresh,1
fruit hallways,1
online,1
open public,1
guess open,1
meal privileged,1
inequalities staff,1
think moment,1
scholarship helpful,1
good idea,1
cards raffles,1
unsafe housing,1
raffles,1
set discounts,1
opportunity scholarship,1
cnm doesn,1
moment,1
supply student,1
campus partner,1
campus support,1
free faculty,1
faculty breakfast,1
worries faculty,1
pantry good,1
better exposure,1
services available,1
provide events,1
afford live,1
staff adjuncts,1
appropriately,1
pay appropriately,1
food source,1
outside safe,1
hot food,1
student job,1
emergency housing,1
shelter offers,1
safe fresh,1
building,1
housing space,1
opened canteen,1
livable income,1
government subsidies,1
work housing,1
provide cheaper,1
students livable,1
cheaper meal,1
employees cost,1
raises campus,1
actual raises,1
parking accessible,1
equitable wages,1
make parking,1
implementation,1
demand increase,1
unm assistance,1
housing prices,1
commiserate housing,1
pay adjunct,1
apply government,1
work jobs,1
wage single,1
12,1
raising,1
raising income,1
welfare housing,1
welfare,1
public welfare,1
restaurants welfare,1
welfare restaurants,1
pay including,1
apply,1
solution,1
adjunct professors,1
wages rising,1
kitchens dorms,1
fix problem,1
cafeteria offered,1
prepared meals,1
higher salary,1
meeting dorm,1
monthly meeting,1
dorm students,1
meeting,1
inflation terribly,1
toys charitable,1
wish cafeteria,1
assistance discount,1
social media,1
emails social,1
charitable,1
charitable things,1
nnmc needs,1
dorms obtain,1
pantry support,1
money dorms,1
rise,1
offer ft,1
rise offer,1
funding available,1
ft job,1
worrying transportation,1
raises pay,1
days employees,1
work home,1
pay benefits,1
income food,1
encourage,1
encourage community,1
college amazing,1
cnm excellent,1
start kitchens,1
food security,1
hours college,1
students concerns,1
allow faculty,1
host,1
host food,1
wages time,1
campus employees,1
open dormitory,1
wage provided,1
adequate food,1
wage campus,1
provision adequate,1
provision,1
problem transportation,1
listen students,1
college service,1
food price,1
students workers,1
end rent,1
hands,1
helping,1
hands helping,1
wary students,1
increase inflation,1
pantries aren,1
guide,1
needs guide,1
accommodation food,1
dormitory,1
raise increase,1
dormitory canteen,1
kitchen gardens,1
benefits help,1
used grocery,1
city agencies,1
cafe area,1
resources locations,1
healthy meal,1
meal school,1
covid,1
covid spent,1
montoya,1
benefits,1
meals toiletries,1
opportunities partnerships,1
vouchers gift,1
housing opportunities,1
invest housing,1
partnerships city,1
located campus,1
like unm,1
expanding hours,1
expanding,1
unm rent,1
diversity,1
food diversity,1
area having,1
don solutions,1
solutions offer,1
solutions,1
hygiene,1
aid items,1
hygiene basic,1
basic hygiene,1
feminine hygiene,1
kitchens,1
faculty higher,1
safety education,1
strengthen food,1
pantry upgrade,1
home provide,1
serve cafeteria,1
grow veg,1
health food,1
bank,1
garden grow,1
possible food,1
raise promote,1
pantry availability,1
don suggestions,1
unm taos,1
helpful students,1
suggestions,1
help fund,1
fund pantry,1
education students,1
pantry days,1
departments campus,1
meal departments,1
student affairs,1
expanded food,1
contribute,1
contribute food,1
selection food,1
nice campus,1
increase selection,1
selection,1
campus shuttle,1
close campus,1
walk campus,1
establish housing,1
offer cafeteria,1
grad employees,1
compared wages,1
pantry opened,1
westside,1
employee food,1
employees discussion,1
wages focus,1
people housing,1
wages people,1
campus needs,1
work university,1
pay ton,1
greater food,1
bank drives,1
plan cafeteria,1
reduced meals,1
westside campus,1
staff tremendously,1
scholarship funding,1
served campus,1
