Question,Institution,Total Responses,Non-empty Responses,Informative Responses,Non_Informative_Count,Sentiment_Positive,Sentiment_Negative,Sentiment_Neutral,Top_Keywords,Top_Topics
Please select the reasons for not visiting the campus food pantry.,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",Topic 0: 6 responses; Topic 1: 5 responses
Please select the reasons for not visiting the campus food pantry.,San Juan College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",Topic 0: 20 responses; Topic 1: 12 responses
Please select the reasons for not visiting the campus food pantry.,Mesalands Community College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,Clovis Community College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",Topic 0: 8 responses; Topic 1: 7 responses
Please select the reasons for not visiting the campus food pantry.,Luna Community College,,,,0.0,0.0,0.0,0.0,"students need, help, students, need help, need",
Please select the reasons for not visiting the campus food pantry.,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",Topic 0: 19 responses; Topic 1: 6 responses
Please select the reasons for not visiting the campus food pantry.,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,"students need, students, help, need help, need",Topic 0: 9 responses; Topic 1: 4 responses
Please select the reasons for not visiting the campus food pantry.,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,Din̩ College,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,Western New Mexico University,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",Topic 0: 8 responses; Topic 1: 6 responses
Please select the reasons for not visiting the campus food pantry.,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,"students need, help, need help, students, need",
Please select the reasons for not visiting the campus food pantry.,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,,
What are your thoughts about food availability on your campus?,Response Counts,,,,,,,,,
,Central New Mexico Community College,467.0,467.0,229.0,,,,,,
