Keyword,Count
students complained,1
campus instead,1
options okay,1
available just,1
just expensive,1
coffee,1
students good,1
coffee students,1
gallup doesnâ,1
cnm poor,1
unm gallup,1
campus class,1
meal food,1
eat meal,1
meal expensive,1
cost meal,1
donâ food,1
poverty,1
poverty community,1
campus effort,1
university food,1
grown fresh,1
locally grown,1
cafeteria vending,1
healthy sandwiches,1
leaner meals,1
campus nearby,1
healthier fresh,1
choices parking,1
meals lunch,1
single,1
nutritious salad,1
campus isnâ,1
isnâ nutritious,1
little choice,1
eat expensive,1
price little,1
provide fruit,1
fruit milk,1
milk,1
provide,1
portions meal,1
purchase meals,1
particularly,1
expensive particularly,1
particularly mercado,1
minimal expensive,1
little availability,1
good better,1
little discount,1
availble,1
price going,1
good price,1
items food,1
places monday,1
pantry eatery,1
availability items,1
east wing,1
times week,1
hopefully content,1
portions,1
hopefully,1
food locations,1
selection poor,1
poor selection,1
usually,1
nice affordable,1
options staff,1
choice eating,1
meals isn,1
cafeteria serves,1
healthier foods,1
costly healthier,1
resource available,1
campus wouldn,1
buy lunch,1
food building,1
expired,1
offer little,1
food expired,1
option site,1
satellite,1
salary afford,1
meal lunch,1
spend meal,1
prohibitive staff,1
needs options,1
nice idea,1
questions,1
campus answer,1
available money,1
variety suitable,1
suitable prices,1
food availabe,1
eatery times,1
budget day,1
location availability,1
campus time,1
good availability,1
prepare food,1
long,1
way long,1
poor options,1
like gluten,1
social,1
events campus,1
food sharing,1
social events,1
food social,1
hours types,1
availability hours,1
cafeteria happy,1
purchased salads,1
resources,1
limited resources,1
spot,1
spot buy,1
food priced,1
feel spending,1
waste cheaper,1
spending money,1
money waste,1
lower price,1
food sold,1
campus especially,1
price campus,1
going eat,1
service campus,1
salads beverages,1
food budget,1
needs better,1
pantry big,1
choices food,1
burgers pizza,1
sodexo burgers,1
court food,1
candy machine,1
hec candy,1
regular cafeteria,1
cafeteria services,1
options discount,1
discount student,1
student expensive,1
option students,1
love affordable,1
chips drinks,1
limited pandemic,1
day staff,1
drinks bookstore,1
staff chips,1
lot fried,1
foods fruits,1
fresh vegetables,1
fried foods,1
meal menus,1
cafeteria started,1
fruit meal,1
face classes,1
classes,1
cafeteria face,1
pandemic purchased,1
option healthier,1
campus convenient,1
healthier items,1
cnm need,1
machines mediocre,1
type foods,1
campus processed,1
offered expensive,1
starbucks offered,1
unhealthy costly,1
machines unhealthy,1
advertising,1
advertising campus,1
typically,1
typically pack,1
online,1
online work,1
food type,1
outweigh healthy,1
items limited,1
small sustain,1
sustain food,1
pre food,1
food make,1
healthy junk,1
juice cost,1
lacking available,1
pantry wonderful,1
boxed canned,1
contain unhealthy,1
processed contain,1
canned foods,1
healthiness taste,1
relatively expensive,1
afford eat,1
food like,1
primarily small,1
small school,1
poor choice,1
choice expensive,1
building run,1
building,1
run food,1
limited building,1
cnm nice,1
marketplace,1
marketplace cnm,1
students school,1
bookstore food,1
campus limited,1
fruit gluten,1
salads fruit,1
fresher salads,1
anymore cnm,1
think cafeteria,1
cafeteria anymore,1
unfamiliar,1
unfamiliar availability,1
bookstore equipment,1
choices bookstore,1
items bookstore,1
starbucks items,1
just starbucks,1
home eating,1
eating campus,1
rising,1
student populated,1
food candy,1
chips fresh,1
campus bookstore,1
carbs,1
simple carbs,1
joke food,1
thing,1
necessary thing,1
choose nice,1
options choose,1
great healthy,1
options fast,1
like pret,1
trucks cafeteria,1
pantry located,1
cafeteria located,1
balanced nutritious,1
work expensive,1
location minimal,1
answering buy,1
probably need,1
need students,1
food businesses,1
itâ terrible,1
prepared poorly,1
food prepared,1
works,1
near student,1
small cafeteria,1
expensive rising,1
3pm starbucks,1
bad unhealthy,1
food starbucks,1
isn campus,1
campus buy,1
beneficial students,1
machines eat,1
breakfast,1
burritos,1
burritos available,1
breakfast burritos,1
campus hard,1
work hungry,1
haven,1
haven purchased,1
food affordable,1
lunch junk,1
trucks vending,1
cnm relies,1
cnm organizes,1
nice choice,1
money allows,1
choice money,1
visitors cafeteria,1
cafeterias wish,1
buy cafeterias,1
away restaurants,1
restaurants need,1
limited primarily,1
offerings outweigh,1
staff food,1
school good,1
campus takes,1
care students,1
trucks supported,1
current students,1
options great,1
gallup campus,1
need vendor,1
important,1
college food,1
free frozen,1
meals community,1
grant providing,1
cost little,1
provided school,1
organic food,1
food provided,1
campuses vending,1
taos offers,1
taos,1
pantry unm,1
eat mail,1
minimal vending,1
campuses afterthought,1
satellite campuses,1
machines montoya,1
machine food,1
meal campus,1
home semester,1
campus quality,1
quality selection,1
dont,1
deli campus,1
highly expencive,1
foreigners like,1
nice opened,1
opened,1
opened options,1
food faculty,1
options dietary,1
nice little,1
sucks,1
satisfaction,1
food delicious,1
pick,1
selection pick,1
diet,1
healthy diet,1
tastes,1
tastes great,1
replaced,1
covid replaced,1
availability covid,1
want food,1
fruits veggies,1
prepackaged salads,1
salads instead,1
probably improved,1
cafeteria deli,1
use cafeteria,1
pretty expensive,1
tried purchase,1
use nice,1
services limited,1
definitely,1
