Topic,Count,Name,Representation,Representative_Docs_x,IDs,Representative_Docs_y
52,18,52_nope_unsure_yes_nah,"['nope', 'unsure', 'yes', 'nah', 'unknown', '', '', '', '', '']","['nope', 'nope.', 'nope.']","['7218', '14422', '109', '7610', '9513', '9816', '12410', '718', '1154', '6237', '8936', '9310', '9438', '9467', '13761', '13885', '14101', '15038']","['yes', 'yes', 'unsure', 'unknown', 'unsure']"
53,18,53_living_cost_increases_wages,"['living', 'cost', 'increases', 'wages', 'salaries', 'raise', 'heslth', 'consideration', 'matching', 'expensenises']","['cost living increases matching inflation costs, especially year. looking income monthly expensenises, having difficulty paying bills own.', 'pay appropriate wages / cost living increases', 'cost living increases.']","['5378', '7985', '608', '1097', '1231', '2565', '2572', '3916', '4220', '6075', '8243', '8345', '10242', '12381', '12594', '14231', '6136', '13933']","['competing time work rise cost living covid changed everything.', 'relocated order job pays cost living area.', 'provide stipends cost living expenses', 'yearly cost living increase', 'cost living increases.']"
54,18,54_health_insurance_mental_care,"['health', 'insurance', 'mental', 'care', 'cost', 'month', 'caused', 'high', 'healthcare', 'provider']","['mental health question section money/insurance hinderance, professional help full. counselor i\'ve sought seek mental health therapy ""not taking new patients""... finding provider easy.', 'question struggling needed healthcare cost, said experienced past 12 months. however, struggled receive needed healthcare nm cost. spent 4 years trying primary care psychiatrist nm repeatedly told available (within unm presbyterian health systems having drive far... seen unm-sandoval primary care far locations, manage responsibilities) private practices called taking new patients.', 'health insurance high continues grow year. reduced level health insurance high cost. helpful college pay higher health insurance.']","['2511', '2603', '5907', '6732', '9507', '1118', '1237', '2520', '2738', '3327', '6135', '6444', '8909', '9106', '10183', '10316', '12464', '14486']","['year, caused rent 2.5 times paying. job switched prescription coverage, caused cost generic prescription need mental health $5 month $100 month.', 'pay health insurance fees, and/ retirement monthly', 'cost benefits high - $951 month health alone. wouldnâ€™t accepted position realized salary accessible', 'charging health insurance, forcing reserve 10% pay pension unable access employed?', 'lower cost housing food options students, higher wages faculty staff. mental health services reach all. better health insurance lower co-pays.']"
55,17,55_fruit_fresh_tasty_labor,"['fruit', 'fresh', 'tasty', 'labor', 'meats', 'trade', 'commodities', 'diversity', 'selection', 'available']","['affordable fresh fruits. better health insurance getting medical care expensive.', 'fruit available sell', 'provide better food fresh fruit vegetables']","['7223', '8186', '10254', '2516', '2665', '6088', '6107', '6261', '10316', '10408', '12158', '12712', '12965', '13281', '13974', '14988', '15010']","['food fresh meats', 'able food', 'fast food makes', 'food options', 'food options available']"
56,17,56_affecting_unaffected_jt_yet,"['affecting', 'unaffected', 'jt', 'yet', 'really', 'me', 'currently', '', '', '']","['affecting', 'affecting', 'affecting']","['397', '1295', '1453', '3308', '4256', '6250', '6447', '7065', '7445', '7560', '7586', '8943', '9073', '9268', '10030', '12289', '15038']","['affecting', 'affecting', 'really affecting yet.', 'affecting', 'affecting me.']"
57,17,57_moment_sorry_isn_facing,"['moment', 'sorry', 'isn', 'facing', 'unsure', 'doesn', 'all', 'situation', 'can', 'not']","['moment.', 'moment', 'moment']","['6682', '7816', '7892', '9133', '9280', '9522', '13067', '14125', '14604', '513', '10135', '12', '10762', '12298', '13830', '14046', '14544']","[""moment, isn't."", ""doesn't moment."", 'moment.', 'moment.', 'moment not.']"
58,16,58_tuition_loan_sports_totally,"['tuition', 'loan', 'sports', 'totally', 'private', 'demand', 'federal', 'free', 'example', 'rates']","['great student loan debt, federal private loans, manageable cap rates debt federal private.', 'university pay 10% lower 90% university spends lot money loosing sports programs coaches held accountable make sure student athletes successful.', 'state provide totally free on-demand/online option earning college degree. khan academy, example, provides subject-matter lessons totally free, available demand, far better conveying useful information in-class courses available practically public universities.']","['45', '4541', '150', '252', '404', '942', '3037', '3452', '6775', '8899', '9067', '10253', '10708', '13056', '5280', '6104']","['students canâ€™t afford attend classes numbers decline job semester.', 'choose teach classes based income bills', 'make affordable students', 'free tuition, fees, books (state supported)', 'programs loan use term loan. drives people away misleading program free payback.']"
59,16,59_stress_credit_card_can,"['stress', 'credit', 'card', 'can', 'adds', 'stressing', 'causing', 'sleep', 'paycheck', 'like']","[""stated before, sick add credit card debt isn't gas money commute long distances work. anxiety, depression, fear campus mean eat days work home. afraid faculty's working conditions hellish, discontent all-time high, nervous breakdowns prevalent, lot guns new mexico."", 'ppreciate taking time ask people doing, time law-makers politicians ""think"" know what\'s going on. like just cause job doesn\'t mean don\'t struggle like new mexican there. just hard think that\'s mental state starts stress worry credit card can\'t afford payments credit card. look like doing alright financially really struggling.', 'able forth best self best work hungry stressing pay bills. judged ""show up"" it\'s hard clothes old, need haircut, can\'t contribute office gift potluck, can\'t afford healthcare need, etc. know doing work wasn\'t carrying weight stress time money need care myself.']","['1287', '2503', '2720', '2871', '5845', '5888', '6071', '7138', '9305', '10216', '10700', '13094', '13910', '5989', '13288', '14604']","['general financial difficulties (i.e., living paycheck paycheck) causes stress enter area life, including work.', 'worry bills moth. living month month.', 'worrying stressing money, food, housing occasionally affect work.', 'inability focus morning, feel freedom critique employer want risk losing paychecks.', 'worrying paying bills, effects time effectiveness']"
60,15,60_unm_root_causes_principles,"['unm', 'root', 'causes', 'principles', 'based', 'known', 'loan', 'fund', 'including', 'new']","['unm assistance.', 'pleasure enjoyed work unm especially students staff. unfortunately, make hard decision leave unm pursue employment opportunities based higher wages, retirement deductions parking fees. unm entity great establishment just sad leave based current needs financially. praying come financial hardship passes. love campus!', 'address root causes provide resources fix issue long term. root causes including trauma, historical discrimination, racism, transphobia, homophobia, etc. need institutions like unm really address causes root level resources fund prevention treatment root causes.']","['577', '7660', '6304', '8340', '9037', '9340', '10049', '10258', '12207', '15050', '577', '7660', '8981', '10057', '13425']","['unm going getting old. useless people administration fat checks little brain.', 'all, adult. student unm problems today, secure well.', 'address root causes provide resources fix issue long term. root causes including trauma, historical discrimination, racism, transphobia, homophobia, etc. need institutions like unm really address causes root level resources fund prevention treatment root causes.', 'make known-i idea unm helped assistance.', ""i'm relatively new unm nm, i'm sure""]"
61,15,61_know_dont_don_phase,"['know', 'dont', 'don', 'phase', 'matter', 'didn', 'things', '', '', '']","[""don't know"", ""don't know"", ""don't know""]","['4050', '5559', '1222', '2226', '2785', '3936', '5643', '6241', '6250', '8155', '9017', '10230', '12705', '13988', '14034']","['dont know', ""didn't matter"", ""don't know"", ""don't know"", ""don't know""]"
